hldycoral_i,lynnhldy_i,nrdg12av_i,librhldy_i,hldy12av_i,12av10st_i,softball_i,hardlib_i,clintwash_a

Block: 71-----------------------
06:14:00,06:17:00,06:19:00,06:21:00,06:23:00,06:25:00,06:29:00,06:35:00,06:40:00
07:14:00,07:17:00,07:19:00,07:21:00,07:23:00,07:25:00,07:29:00,07:35:00,07:40:00
08:14:00,08:17:00,08:19:00,08:21:00,08:23:00,08:25:00,08:29:00,08:35:00,08:40:00
